#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
Tadh-TriadG18273	10228.TriadP18273	0.0	2414.0	KOG2301@1|root,KOG2301@2759|Eukaryota,38BYK@33154|Opisthokonta,3BD2J@33208|Metazoa	33208|Metazoa	PT	Sodium leak channel, non-selective	NALCN	GO:0001508,GO:0003008,GO:0003674,GO:0005215,GO:0005216,GO:0005261,GO:0005272,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0006814,GO:0006816,GO:0007600,GO:0007610,GO:0007622,GO:0007623,GO:0007626,GO:0008150,GO:0008324,GO:0008344,GO:0009987,GO:0010646,GO:0010647,GO:0015075,GO:0015077,GO:0015081,GO:0015267,GO:0015318,GO:0015672,GO:0016020,GO:0022803,GO:0022838,GO:0022840,GO:0022842,GO:0022857,GO:0022890,GO:0023051,GO:0023056,GO:0030001,GO:0030424,GO:0030534,GO:0032222,GO:0032224,GO:0032228,GO:0032230,GO:0032501,GO:0033267,GO:0034220,GO:0035176,GO:0035725,GO:0036477,GO:0040012,GO:0040017,GO:0042221,GO:0042391,GO:0042493,GO:0042752,GO:0042995,GO:0043005,GO:0043025,GO:0043679,GO:0044297,GO:0044306,GO:0044456,GO:0044463,GO:0044464,GO:0045202,GO:0045475,GO:0046873,GO:0048511,GO:0048512,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0050804,GO:0050806,GO:0050877,GO:0050896,GO:0050954,GO:0050975,GO:0051179,GO:0051234,GO:0051703,GO:0051704,GO:0051705,GO:0051899,GO:0055085,GO:0060075,GO:0065007,GO:0065008,GO:0070588,GO:0070838,GO:0071804,GO:0071805,GO:0071944,GO:0072347,GO:0072511,GO:0086010,GO:0097458,GO:0098655,GO:0098660,GO:0098662,GO:0098793,GO:0099177,GO:0120025,GO:0120038,GO:0150034	-	ko:K21863	-	-	-	-	ko00000,ko04040	1.A.1.11.15	-	-	Ion_trans
Tadh-TriadG18815	10228.TriadP18815	1.46e-117	336.0	KOG2301@1|root,KOG2301@2759|Eukaryota,38BYK@33154|Opisthokonta,3BD2J@33208|Metazoa	33208|Metazoa	PT	Sodium leak channel, non-selective	-	-	-	ko:K21863	-	-	-	-	ko00000,ko04040	1.A.1.11.15	-	-	Ion_trans
Tadh-TriadG51266	10228.TriadP51266	0.0	1110.0	KOG3712@1|root,KOG3712@2759|Eukaryota,38DC8@33154|Opisthokonta,3BAGY@33208|Metazoa	33208|Metazoa	K	pancreatic epsilon cell differentiation	-	-	-	ko:K09174	-	-	-	-	ko00000,ko03000	-	-	-	RFX_DNA_binding
Tadh-TriadG51268	10228.TriadP51268	3.22e-119	340.0	COG0454@1|root,KOG3216@2759|Eukaryota,38FNC@33154|Opisthokonta,3BBAU@33208|Metazoa	33208|Metazoa	E	diamine N-acetyltransferase activity	SAT1	GO:0001525,GO:0001568,GO:0001944,GO:0003674,GO:0003824,GO:0004145,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006576,GO:0006595,GO:0006596,GO:0006598,GO:0006807,GO:0007275,GO:0008080,GO:0008150,GO:0008152,GO:0008215,GO:0008216,GO:0009056,GO:0009058,GO:0009308,GO:0009309,GO:0009310,GO:0009653,GO:0009987,GO:0016407,GO:0016410,GO:0016740,GO:0016746,GO:0016747,GO:0017144,GO:0019808,GO:0019809,GO:0032501,GO:0032502,GO:0032917,GO:0032918,GO:0034641,GO:0035239,GO:0035295,GO:0042127,GO:0042401,GO:0042402,GO:0042737,GO:0042802,GO:0043167,GO:0043169,GO:0044106,GO:0044237,GO:0044248,GO:0044249,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046208,GO:0048514,GO:0048646,GO:0048731,GO:0048856,GO:0050789,GO:0050794,GO:0065007,GO:0070405,GO:0071704,GO:0072358,GO:0072359,GO:0097164,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576	2.3.1.57	ko:K00657	ko00330,ko01100,ko04216,map00330,map01100,map04216	M00135	R01154	RC00004,RC00096	ko00000,ko00001,ko00002,ko01000	-	-	-	Acetyltransf_1
Tadh-TriadG49541	10228.TriadP49541	0.0	2404.0	COG0417@1|root,KOG0970@2759|Eukaryota,38CZ4@33154|Opisthokonta,3BBX1@33208|Metazoa	33208|Metazoa	L	DNA polymerase	POLA1	GO:0000082,GO:0000083,GO:0000166,GO:0000228,GO:0000278,GO:0000428,GO:0000723,GO:0000726,GO:0000731,GO:0003674,GO:0003676,GO:0003677,GO:0003682,GO:0003690,GO:0003824,GO:0003887,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005635,GO:0005654,GO:0005657,GO:0005658,GO:0005694,GO:0005730,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006269,GO:0006270,GO:0006271,GO:0006272,GO:0006273,GO:0006281,GO:0006302,GO:0006303,GO:0006355,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007049,GO:0008150,GO:0008152,GO:0008283,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010468,GO:0010556,GO:0012505,GO:0016043,GO:0016070,GO:0016363,GO:0016740,GO:0016772,GO:0016779,GO:0017076,GO:0018130,GO:0019103,GO:0019219,GO:0019222,GO:0019438,GO:0019725,GO:0019899,GO:0019900,GO:0019901,GO:0022402,GO:0022616,GO:0030880,GO:0030894,GO:0031323,GO:0031326,GO:0031967,GO:0031974,GO:0031975,GO:0031981,GO:0032200,GO:0032201,GO:0032774,GO:0032991,GO:0032993,GO:0033260,GO:0033554,GO:0034061,GO:0034399,GO:0034641,GO:0034645,GO:0034654,GO:0036094,GO:0042592,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043596,GO:0043601,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044444,GO:0044446,GO:0044454,GO:0044464,GO:0044770,GO:0044772,GO:0044786,GO:0044843,GO:0046483,GO:0046982,GO:0046983,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051252,GO:0051276,GO:0051716,GO:0055029,GO:0060249,GO:0060255,GO:0061695,GO:0065007,GO:0065008,GO:0070013,GO:0071704,GO:0071840,GO:0071897,GO:0080090,GO:0090304,GO:0097159,GO:0140097,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902494,GO:1903047,GO:1903506,GO:1990234,GO:2000112,GO:2001141	2.7.7.7	ko:K02320	ko00230,ko00240,ko01100,ko03030,map00230,map00240,map01100,map03030	M00261	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032	-	-	-	DNA_pol_B,DNA_pol_B_exo1,DNA_pol_alpha_N,zf-DNA_Pol
Tadh-TriadG51271	10228.TriadP51271	0.0	2061.0	KOG2171@1|root,KOG2171@2759|Eukaryota,38EQR@33154|Opisthokonta,3BAKX@33208|Metazoa	33208|Metazoa	UY	Importin	IPO5	GO:0000060,GO:0000079,GO:0001101,GO:0001932,GO:0001933,GO:0003674,GO:0004857,GO:0005048,GO:0005095,GO:0005215,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005635,GO:0005643,GO:0005730,GO:0005737,GO:0005829,GO:0006469,GO:0006606,GO:0006607,GO:0006610,GO:0006810,GO:0006886,GO:0006913,GO:0008104,GO:0008139,GO:0008150,GO:0008536,GO:0008565,GO:0009719,GO:0009892,GO:0009987,GO:0010033,GO:0010243,GO:0010563,GO:0010605,GO:0012505,GO:0015031,GO:0015833,GO:0016020,GO:0017016,GO:0017038,GO:0019220,GO:0019222,GO:0019899,GO:0030234,GO:0030695,GO:0031090,GO:0031267,GO:0031323,GO:0031324,GO:0031399,GO:0031400,GO:0031965,GO:0031967,GO:0031974,GO:0031975,GO:0031981,GO:0032268,GO:0032269,GO:0032386,GO:0032388,GO:0032879,GO:0032880,GO:0032991,GO:0033036,GO:0033157,GO:0033218,GO:0033365,GO:0033673,GO:0034260,GO:0034399,GO:0034504,GO:0034613,GO:0042221,GO:0042277,GO:0042306,GO:0042307,GO:0042325,GO:0042326,GO:0042886,GO:0043086,GO:0043087,GO:0043200,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043549,GO:0044092,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0045184,GO:0045736,GO:0045786,GO:0045859,GO:0045936,GO:0046822,GO:0046824,GO:0046907,GO:0048518,GO:0048519,GO:0048523,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051020,GO:0051049,GO:0051050,GO:0051169,GO:0051170,GO:0051171,GO:0051172,GO:0051174,GO:0051179,GO:0051222,GO:0051223,GO:0051234,GO:0051246,GO:0051248,GO:0051336,GO:0051338,GO:0051346,GO:0051348,GO:0051641,GO:0051649,GO:0051716,GO:0051726,GO:0060255,GO:0060341,GO:0060589,GO:0065007,GO:0065009,GO:0070013,GO:0070201,GO:0070727,GO:0070887,GO:0071229,GO:0071230,GO:0071310,GO:0071417,GO:0071495,GO:0071702,GO:0071705,GO:0071900,GO:0071901,GO:0072594,GO:0080090,GO:0090087,GO:0090316,GO:0098772,GO:1900180,GO:1900182,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1903827,GO:1903829,GO:1904029,GO:1904030,GO:1904589,GO:1904591,GO:1904951	-	ko:K20222	-	-	-	-	ko00000,ko03009	1.I.1	-	-	HEAT,HEAT_2,HEAT_EZ,IBN_N
Tadh-TriadG18708	10228.TriadP18708	0.0	1070.0	COG2319@1|root,KOG3602@2759|Eukaryota,38E5W@33154|Opisthokonta,3BA5T@33208|Metazoa	33208|Metazoa	B	NACHT and WD repeat	-	-	-	-	-	-	-	-	-	-	-	-	NACHT,WD40
Tadh-TriadG18392	10228.TriadP18392	5.95e-197	545.0	COG2319@1|root,KOG3602@2759|Eukaryota,38E5W@33154|Opisthokonta,3BA5T@33208|Metazoa	33154|Opisthokonta	B	NACHT and WD repeat	-	-	-	-	-	-	-	-	-	-	-	-	-
Tadh-TriadG63161	10228.TriadP63161	7.51e-238	654.0	KOG1566@1|root,KOG1566@2759|Eukaryota,38D3U@33154|Opisthokonta,3B9CQ@33208|Metazoa	33208|Metazoa	S	positive regulation of peptidyl-threonine phosphorylation	CAB39L	GO:0001700,GO:0001775,GO:0001932,GO:0001934,GO:0002252,GO:0002263,GO:0002274,GO:0002275,GO:0002283,GO:0002366,GO:0002376,GO:0002443,GO:0002444,GO:0002446,GO:0003674,GO:0005488,GO:0005509,GO:0005515,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006887,GO:0006950,GO:0006955,GO:0006970,GO:0006971,GO:0007049,GO:0007050,GO:0007154,GO:0007165,GO:0007275,GO:0007399,GO:0007405,GO:0008047,GO:0008150,GO:0008152,GO:0008283,GO:0008356,GO:0009628,GO:0009790,GO:0009792,GO:0009893,GO:0009987,GO:0010562,GO:0010604,GO:0010799,GO:0010800,GO:0010959,GO:0012505,GO:0016192,GO:0016310,GO:0017145,GO:0018105,GO:0018193,GO:0018209,GO:0019207,GO:0019209,GO:0019220,GO:0019222,GO:0019538,GO:0019887,GO:0019899,GO:0019900,GO:0022008,GO:0022402,GO:0022898,GO:0023014,GO:0023052,GO:0030141,GO:0030154,GO:0030234,GO:0030295,GO:0031323,GO:0031325,GO:0031399,GO:0031401,GO:0031410,GO:0031974,GO:0031982,GO:0031983,GO:0032147,GO:0032268,GO:0032270,GO:0032409,GO:0032410,GO:0032412,GO:0032413,GO:0032501,GO:0032502,GO:0032879,GO:0032940,GO:0032991,GO:0033554,GO:0033674,GO:0034762,GO:0034763,GO:0034765,GO:0034766,GO:0034774,GO:0035556,GO:0036211,GO:0036230,GO:0036445,GO:0042119,GO:0042325,GO:0042327,GO:0043085,GO:0043167,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043266,GO:0043267,GO:0043269,GO:0043271,GO:0043299,GO:0043312,GO:0043412,GO:0043539,GO:0043549,GO:0044092,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044433,GO:0044444,GO:0044446,GO:0044464,GO:0045055,GO:0045165,GO:0045321,GO:0045786,GO:0045859,GO:0045860,GO:0045937,GO:0046872,GO:0046903,GO:0048103,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048699,GO:0048731,GO:0048856,GO:0048869,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051049,GO:0051051,GO:0051171,GO:0051173,GO:0051174,GO:0051179,GO:0051234,GO:0051246,GO:0051247,GO:0051301,GO:0051338,GO:0051347,GO:0051716,GO:0051726,GO:0055057,GO:0055059,GO:0060205,GO:0060255,GO:0061351,GO:0061695,GO:0065007,GO:0065009,GO:0070013,GO:0071214,GO:0071470,GO:0071476,GO:0071704,GO:0071900,GO:0071902,GO:0072089,GO:0080090,GO:0097708,GO:0098722,GO:0098772,GO:0099503,GO:0101002,GO:0104004,GO:1901016,GO:1901017,GO:1901379,GO:1901380,GO:1901564,GO:1902494,GO:1902554,GO:1902911,GO:1904062,GO:1904063,GO:1904813,GO:1990234	-	ko:K08272	ko04150,ko04152,map04150,map04152	-	-	-	ko00000,ko00001	-	-	-	Mo25
Tadh-TriadG51276	10228.TriadP51276	9.58e-138	389.0	KOG4181@1|root,KOG4181@2759|Eukaryota,39R8T@33154|Opisthokonta,3BBRD@33208|Metazoa	33208|Metazoa	B	SMG9 nonsense mediated mRNA decay factor	SMG9	GO:0000184,GO:0000956,GO:0001654,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006401,GO:0006402,GO:0006725,GO:0006807,GO:0007275,GO:0007399,GO:0007417,GO:0007420,GO:0007423,GO:0007507,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009605,GO:0009628,GO:0009629,GO:0009892,GO:0009987,GO:0010468,GO:0010605,GO:0010629,GO:0016070,GO:0016071,GO:0019222,GO:0019439,GO:0032501,GO:0032502,GO:0034641,GO:0034655,GO:0040011,GO:0042330,GO:0042332,GO:0042802,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046700,GO:0048513,GO:0048519,GO:0048731,GO:0048856,GO:0050789,GO:0050896,GO:0060255,GO:0060322,GO:0065007,GO:0071704,GO:0072359,GO:0090304,GO:1901360,GO:1901361,GO:1901575	-	ko:K18735	-	-	-	-	ko00000,ko03019	-	-	-	Smg8_Smg9
Tadh-TriadG19832	10228.TriadP19832	7.99e-190	528.0	COG0615@1|root,KOG2804@2759|Eukaryota,38HWT@33154|Opisthokonta,3BEUB@33208|Metazoa	33208|Metazoa	I	choline-phosphate cytidylyltransferase activity	PCYT1A	GO:0000003,GO:0001541,GO:0001654,GO:0001736,GO:0001738,GO:0001745,GO:0002009,GO:0002165,GO:0003006,GO:0003674,GO:0003824,GO:0004105,GO:0005488,GO:0005515,GO:0005516,GO:0005543,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005635,GO:0005737,GO:0005783,GO:0005789,GO:0005886,GO:0006629,GO:0006644,GO:0006650,GO:0006656,GO:0006657,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006897,GO:0007163,GO:0007164,GO:0007275,GO:0007276,GO:0007281,GO:0007283,GO:0007292,GO:0007423,GO:0007444,GO:0007472,GO:0007476,GO:0007548,GO:0007552,GO:0007560,GO:0007568,GO:0008150,GO:0008152,GO:0008289,GO:0008340,GO:0008406,GO:0008585,GO:0008610,GO:0008654,GO:0009058,GO:0009653,GO:0009719,GO:0009725,GO:0009791,GO:0009886,GO:0009887,GO:0009888,GO:0009987,GO:0010033,GO:0010243,GO:0010259,GO:0012505,GO:0016020,GO:0016192,GO:0016740,GO:0016772,GO:0016779,GO:0019637,GO:0019898,GO:0019953,GO:0022412,GO:0022414,GO:0030154,GO:0031210,GO:0031967,GO:0031975,GO:0031984,GO:0032501,GO:0032502,GO:0032504,GO:0035107,GO:0035114,GO:0035120,GO:0035220,GO:0035239,GO:0035295,GO:0042067,GO:0042175,GO:0042221,GO:0042587,GO:0042802,GO:0042803,GO:0043167,GO:0043168,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043434,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0044703,GO:0045017,GO:0045137,GO:0046470,GO:0046474,GO:0046486,GO:0046545,GO:0046660,GO:0046983,GO:0048232,GO:0048468,GO:0048477,GO:0048513,GO:0048563,GO:0048569,GO:0048592,GO:0048608,GO:0048609,GO:0048707,GO:0048729,GO:0048731,GO:0048736,GO:0048737,GO:0048749,GO:0048856,GO:0048869,GO:0050896,GO:0050997,GO:0051179,GO:0051234,GO:0051704,GO:0060429,GO:0060562,GO:0061458,GO:0070405,GO:0070567,GO:0071704,GO:0071944,GO:0090407,GO:0090596,GO:0097164,GO:0098657,GO:0098827,GO:1901564,GO:1901566,GO:1901576,GO:1901652,GO:1901698,GO:1901700,GO:1904116	2.7.7.15	ko:K00968	ko00440,ko00564,ko01100,ko05231,map00440,map00564,map01100,map05231	M00090	R01890,R02590	RC00002	ko00000,ko00001,ko00002,ko01000	-	-	-	CTP_transf_like
Tadh-TriadG51280	10228.TriadP51280	2.95e-81	240.0	2CYQ6@1|root,2S5M4@2759|Eukaryota,39N5Z@33154|Opisthokonta,3BUHU@33208|Metazoa	33208|Metazoa	S	cilium organization	CFAP126	GO:0005575,GO:0005622,GO:0005623,GO:0005815,GO:0005856,GO:0005886,GO:0005929,GO:0006996,GO:0008150,GO:0009987,GO:0015630,GO:0016020,GO:0016043,GO:0016324,GO:0030030,GO:0036064,GO:0042995,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044422,GO:0044424,GO:0044425,GO:0044430,GO:0044441,GO:0044446,GO:0044459,GO:0044463,GO:0044464,GO:0044782,GO:0045177,GO:0071840,GO:0071944,GO:0098590,GO:0120025,GO:0120036,GO:0120038	-	-	-	-	-	-	-	-	-	-	-
