#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
XLOC-015596	6087.XP_002163929.2	7.83e-206	575.0	KOG0082@1|root,KOG0082@2759|Eukaryota,38E4Q@33154|Opisthokonta,3B9RI@33208|Metazoa	33208|Metazoa	DT	D5 dopamine receptor binding	cta	GO:0000902,GO:0000904,GO:0001664,GO:0001667,GO:0001703,GO:0002009,GO:0002064,GO:0002225,GO:0002682,GO:0002684,GO:0002697,GO:0002699,GO:0002700,GO:0002702,GO:0002759,GO:0002760,GO:0002784,GO:0002831,GO:0002833,GO:0002920,GO:0002922,GO:0003365,GO:0003371,GO:0003379,GO:0003380,GO:0003381,GO:0003382,GO:0003383,GO:0003384,GO:0003674,GO:0003824,GO:0003924,GO:0005102,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005834,GO:0005886,GO:0005903,GO:0006355,GO:0006357,GO:0006928,GO:0006950,GO:0006952,GO:0006996,GO:0007010,GO:0007154,GO:0007163,GO:0007165,GO:0007186,GO:0007187,GO:0007188,GO:0007264,GO:0007265,GO:0007266,GO:0007275,GO:0007369,GO:0007398,GO:0007498,GO:0008150,GO:0008360,GO:0009605,GO:0009607,GO:0009620,GO:0009653,GO:0009790,GO:0009888,GO:0009889,GO:0009891,GO:0009893,GO:0009898,GO:0009987,GO:0010004,GO:0010468,GO:0010470,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016020,GO:0016043,GO:0016462,GO:0016476,GO:0016477,GO:0016787,GO:0016817,GO:0016818,GO:0017111,GO:0019219,GO:0019222,GO:0019897,GO:0019898,GO:0022603,GO:0022604,GO:0023052,GO:0030010,GO:0030029,GO:0030048,GO:0030154,GO:0030855,GO:0030952,GO:0031234,GO:0031253,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031526,GO:0031683,GO:0031752,GO:0032101,GO:0032103,GO:0032501,GO:0032502,GO:0032956,GO:0032970,GO:0032989,GO:0032991,GO:0033043,GO:0035556,GO:0040011,GO:0042074,GO:0042995,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043519,GO:0043900,GO:0043902,GO:0044424,GO:0044425,GO:0044459,GO:0044463,GO:0044464,GO:0044877,GO:0045893,GO:0045935,GO:0045944,GO:0045995,GO:0048383,GO:0048468,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0048598,GO:0048729,GO:0048856,GO:0048869,GO:0048870,GO:0050776,GO:0050778,GO:0050780,GO:0050789,GO:0050793,GO:0050794,GO:0050832,GO:0050896,GO:0051128,GO:0051171,GO:0051173,GO:0051179,GO:0051239,GO:0051252,GO:0051254,GO:0051493,GO:0051674,GO:0051704,GO:0051707,GO:0051716,GO:0060026,GO:0060027,GO:0060255,GO:0060429,GO:0065007,GO:0065008,GO:0070252,GO:0071840,GO:0071944,GO:0080090,GO:0098542,GO:0098552,GO:0098562,GO:0098590,GO:0098796,GO:0098797,GO:0098862,GO:0120025,GO:0120038,GO:1901244,GO:1902494,GO:1902680,GO:1903506,GO:1903508,GO:1905360,GO:2000026,GO:2000112,GO:2001141	-	ko:K04346	ko04010,ko04022,ko04071,ko04072,ko04270,ko04730,ko04810,ko05200,map04010,map04022,map04071,map04072,map04270,map04730,map04810,map05200	-	-	-	ko00000,ko00001,ko04031,ko04147	-	-	-	G-alpha
TRINITY-DN27587-c0-g1-i1	6669.EFX90384	1.39e-71	238.0	COG2335@1|root,KOG1437@2759|Eukaryota,39MP0@33154|Opisthokonta,3BB62@33208|Metazoa,3D1UP@33213|Bilateria,429YR@6656|Arthropoda	33208|Metazoa	MW	Four repeated domains in the Fasciclin I family of proteins, present in many other contexts.	-	-	-	ko:K19519	-	-	-	-	ko00000,ko04516	-	-	-	Fasciclin
TRINITY-DN275-c0-g1-i1	6087.XP_002167435.1	1.36e-43	145.0	KOG1782@1|root,KOG1782@2759|Eukaryota,3A6A1@33154|Opisthokonta,3BPNX@33208|Metazoa	33208|Metazoa	A	deadenylation-dependent decapping of nuclear-transcribed mRNA	LSM1	GO:0000288,GO:0000290,GO:0000291,GO:0000339,GO:0000375,GO:0000377,GO:0000398,GO:0000932,GO:0000956,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0005845,GO:0006139,GO:0006396,GO:0006397,GO:0006401,GO:0006402,GO:0006725,GO:0006807,GO:0006996,GO:0007275,GO:0007399,GO:0008150,GO:0008152,GO:0008334,GO:0008380,GO:0009056,GO:0009057,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010605,GO:0010629,GO:0010721,GO:0016043,GO:0016070,GO:0016071,GO:0019222,GO:0019439,GO:0019827,GO:0022008,GO:0022607,GO:0022613,GO:0022618,GO:0030154,GO:0030424,GO:0030425,GO:0032501,GO:0032502,GO:0032991,GO:0033962,GO:0034518,GO:0034622,GO:0034641,GO:0034655,GO:0035770,GO:0036002,GO:0036464,GO:0036477,GO:0042995,GO:0043005,GO:0043025,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043928,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044297,GO:0044424,GO:0044444,GO:0044463,GO:0044464,GO:0045595,GO:0045596,GO:0045664,GO:0045665,GO:0046483,GO:0046700,GO:0048519,GO:0048523,GO:0048699,GO:0048731,GO:0048856,GO:0048869,GO:0050767,GO:0050768,GO:0050789,GO:0050793,GO:0050794,GO:0051093,GO:0051239,GO:0051241,GO:0051960,GO:0051961,GO:0060255,GO:0060284,GO:0065003,GO:0065007,GO:0070925,GO:0071044,GO:0071704,GO:0071826,GO:0071840,GO:0090304,GO:0097159,GO:0097447,GO:0097458,GO:0098727,GO:0120025,GO:0120038,GO:0120114,GO:1901360,GO:1901361,GO:1901363,GO:1901575,GO:1990124,GO:1990726,GO:1990904,GO:2000026	-	ko:K12620	ko03018,map03018	M00397	-	-	ko00000,ko00001,ko00002,ko03019	-	-	-	LSM
XLOC-001310	6087.XP_002167435.1	1.36e-43	145.0	KOG1782@1|root,KOG1782@2759|Eukaryota,3A6A1@33154|Opisthokonta,3BPNX@33208|Metazoa	33208|Metazoa	A	deadenylation-dependent decapping of nuclear-transcribed mRNA	LSM1	GO:0000288,GO:0000290,GO:0000291,GO:0000339,GO:0000375,GO:0000377,GO:0000398,GO:0000932,GO:0000956,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0005845,GO:0006139,GO:0006396,GO:0006397,GO:0006401,GO:0006402,GO:0006725,GO:0006807,GO:0006996,GO:0007275,GO:0007399,GO:0008150,GO:0008152,GO:0008334,GO:0008380,GO:0009056,GO:0009057,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010605,GO:0010629,GO:0010721,GO:0016043,GO:0016070,GO:0016071,GO:0019222,GO:0019439,GO:0019827,GO:0022008,GO:0022607,GO:0022613,GO:0022618,GO:0030154,GO:0030424,GO:0030425,GO:0032501,GO:0032502,GO:0032991,GO:0033962,GO:0034518,GO:0034622,GO:0034641,GO:0034655,GO:0035770,GO:0036002,GO:0036464,GO:0036477,GO:0042995,GO:0043005,GO:0043025,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043928,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044297,GO:0044424,GO:0044444,GO:0044463,GO:0044464,GO:0045595,GO:0045596,GO:0045664,GO:0045665,GO:0046483,GO:0046700,GO:0048519,GO:0048523,GO:0048699,GO:0048731,GO:0048856,GO:0048869,GO:0050767,GO:0050768,GO:0050789,GO:0050793,GO:0050794,GO:0051093,GO:0051239,GO:0051241,GO:0051960,GO:0051961,GO:0060255,GO:0060284,GO:0065003,GO:0065007,GO:0070925,GO:0071044,GO:0071704,GO:0071826,GO:0071840,GO:0090304,GO:0097159,GO:0097447,GO:0097458,GO:0098727,GO:0120025,GO:0120038,GO:0120114,GO:1901360,GO:1901361,GO:1901363,GO:1901575,GO:1990124,GO:1990726,GO:1990904,GO:2000026	-	ko:K12620	ko03018,map03018	M00397	-	-	ko00000,ko00001,ko00002,ko03019	-	-	-	LSM
TRINITY-DN27605-c0-g4-i2	8128.ENSONIP00000026565	1.34e-25	108.0	KOG1075@1|root,KOG1075@2759|Eukaryota,39Y6T@33154|Opisthokonta,3BEGN@33208|Metazoa,3CZ7K@33213|Bilateria,48DPU@7711|Chordata,49A9G@7742|Vertebrata	33208|Metazoa	S	Reverse transcriptase (RNA-dependent DNA polymerase)	-	-	-	-	-	-	-	-	-	-	-	-	Exo_endo_phos_2,RVT_1
XLOC-042245	10224.XP_002740764.1	1.48e-89	290.0	28JVC@1|root,2QS9D@2759|Eukaryota,38FZJ@33154|Opisthokonta,3BFCE@33208|Metazoa,3D1VF@33213|Bilateria	33208|Metazoa	S	meiotic cell cycle	MNS1	GO:0000003,GO:0003002,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005635,GO:0005737,GO:0005856,GO:0005882,GO:0005929,GO:0005930,GO:0006996,GO:0007275,GO:0007276,GO:0007283,GO:0007389,GO:0008150,GO:0009798,GO:0009987,GO:0010638,GO:0012505,GO:0016043,GO:0019953,GO:0022414,GO:0030030,GO:0031344,GO:0031346,GO:0031514,GO:0031967,GO:0031975,GO:0032501,GO:0032502,GO:0032504,GO:0032838,GO:0033043,GO:0036126,GO:0042802,GO:0042995,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044087,GO:0044089,GO:0044422,GO:0044424,GO:0044428,GO:0044430,GO:0044441,GO:0044444,GO:0044446,GO:0044463,GO:0044464,GO:0044703,GO:0044782,GO:0045111,GO:0045724,GO:0048232,GO:0048518,GO:0048522,GO:0048609,GO:0048856,GO:0050789,GO:0050794,GO:0051128,GO:0051130,GO:0051704,GO:0060491,GO:0060972,GO:0065007,GO:0070986,GO:0071840,GO:0097014,GO:0097223,GO:0097729,GO:0099080,GO:0099081,GO:0099512,GO:0099513,GO:0099568,GO:0120025,GO:0120032,GO:0120034,GO:0120035,GO:0120036,GO:0120038,GO:1902017,GO:1902115,GO:1902117	-	-	-	-	-	-	-	-	-	-	TPH
XLOC-040856	45351.EDO32574	2.13e-67	234.0	28K1W@1|root,2QSGD@2759|Eukaryota,39WBJ@33154|Opisthokonta,3BA1V@33208|Metazoa	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Transposase_21
TRINITY-DN2761-c0-g1-i5	6087.XP_002153791.2	0.0	2206.0	COG0553@1|root,KOG0383@2759|Eukaryota,38BGB@33154|Opisthokonta,3B940@33208|Metazoa	33208|Metazoa	K	H3K27me3 modified histone binding	-	-	3.6.4.12	ko:K11643	ko05165,ko05203,map05165,map05203	-	-	-	ko00000,ko00001,ko01000,ko03036	-	-	-	CHDCT2,Chromo,DUF1086,DUF1087,Helicase_C,PHD,SNF2_N
TRINITY-DN2762-c0-g1-i10	6087.XP_002162910.2	5.32e-58	191.0	COG0428@1|root,KOG2693@2759|Eukaryota,38C7J@33154|Opisthokonta,3BBZP@33208|Metazoa	33208|Metazoa	P	positive regulation of protein tyrosine phosphatase activity	-	-	-	ko:K14716	-	-	-	-	ko00000,ko02000	2.A.5.4.16,2.A.5.4.6	-	-	Zip
TRINITY-DN2762-c0-g1-i11	6087.XP_002162910.2	6.32e-60	191.0	COG0428@1|root,KOG2693@2759|Eukaryota,38C7J@33154|Opisthokonta,3BBZP@33208|Metazoa	33208|Metazoa	P	positive regulation of protein tyrosine phosphatase activity	-	-	-	ko:K14716	-	-	-	-	ko00000,ko02000	2.A.5.4.16,2.A.5.4.6	-	-	Zip
XLOC-011131	6087.XP_002162910.2	3.38e-54	191.0	COG0428@1|root,KOG2693@2759|Eukaryota,38C7J@33154|Opisthokonta,3BBZP@33208|Metazoa	33208|Metazoa	P	positive regulation of protein tyrosine phosphatase activity	-	-	-	ko:K14716	-	-	-	-	ko00000,ko02000	2.A.5.4.16,2.A.5.4.6	-	-	Zip
TRINITY-DN2762-c0-g1-i2	6087.XP_002162910.2	3.14e-56	191.0	COG0428@1|root,KOG2693@2759|Eukaryota,38C7J@33154|Opisthokonta,3BBZP@33208|Metazoa	33208|Metazoa	P	positive regulation of protein tyrosine phosphatase activity	-	-	-	ko:K14716	-	-	-	-	ko00000,ko02000	2.A.5.4.16,2.A.5.4.6	-	-	Zip
XLOC-006266	6087.XP_004207589.1	7.45e-21	104.0	KOG0118@1|root,KOG0118@2759|Eukaryota	2759|Eukaryota	H	RNA binding	-	GO:0000228,GO:0000723,GO:0000781,GO:0000784,GO:0003674,GO:0003676,GO:0003677,GO:0003697,GO:0003723,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0006139,GO:0006259,GO:0006725,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009987,GO:0016043,GO:0031974,GO:0031981,GO:0032200,GO:0034641,GO:0042162,GO:0042592,GO:0043047,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043565,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044446,GO:0044454,GO:0044464,GO:0046483,GO:0051276,GO:0060249,GO:0065007,GO:0065008,GO:0070013,GO:0071704,GO:0071840,GO:0090304,GO:0097159,GO:0098687,GO:0098847,GO:1901360,GO:1901363	-	ko:K14325,ko:K14837	ko03013,ko03015,map03013,map03015	M00430	-	-	ko00000,ko00001,ko00002,ko03009,ko03019	-	-	-	RRM_1
TRINITY-DN27631-c0-g1-i1	7668.SPU_026803-tr	2.26e-47	171.0	2D1AE@1|root,2SHBM@2759|Eukaryota,3AFP7@33154|Opisthokonta,3BY0Y@33208|Metazoa,3DET1@33213|Bilateria	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DUF1759,Peptidase_A17
XLOC-004853	6087.XP_004209906.1	1.01e-229	701.0	COG5253@1|root,KOG0230@2759|Eukaryota,38BIU@33154|Opisthokonta,3BD3G@33208|Metazoa	33208|Metazoa	T	1-phosphatidylinositol-3-phosphate 5-kinase activity	PIKFYVE	GO:0000139,GO:0000285,GO:0003674,GO:0003824,GO:0005488,GO:0005543,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005769,GO:0005770,GO:0005794,GO:0005829,GO:0005911,GO:0006629,GO:0006644,GO:0006650,GO:0006661,GO:0006793,GO:0006796,GO:0006810,GO:0006914,GO:0007034,GO:0007041,GO:0007154,GO:0007165,GO:0007272,GO:0007275,GO:0007399,GO:0008104,GO:0008150,GO:0008152,GO:0008270,GO:0008289,GO:0008333,GO:0008366,GO:0008610,GO:0008654,GO:0009056,GO:0009058,GO:0009653,GO:0009894,GO:0009987,GO:0010008,GO:0010506,GO:0010927,GO:0012505,GO:0012506,GO:0016020,GO:0016043,GO:0016192,GO:0016197,GO:0016236,GO:0016241,GO:0016301,GO:0016307,GO:0016308,GO:0016310,GO:0016311,GO:0016482,GO:0016740,GO:0016772,GO:0016773,GO:0016787,GO:0016788,GO:0016791,GO:0019222,GO:0019637,GO:0022411,GO:0022607,GO:0023052,GO:0030054,GO:0030258,GO:0030424,GO:0031090,GO:0031323,GO:0031329,GO:0031410,GO:0031901,GO:0031902,GO:0031982,GO:0031984,GO:0032266,GO:0032288,GO:0032501,GO:0032502,GO:0032984,GO:0032989,GO:0033036,GO:0033043,GO:0033365,GO:0034504,GO:0034593,GO:0034595,GO:0034613,GO:0035091,GO:0035556,GO:0036092,GO:0036477,GO:0042147,GO:0042552,GO:0042578,GO:0042995,GO:0043005,GO:0043025,GO:0043167,GO:0043168,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043813,GO:0043933,GO:0044085,GO:0044087,GO:0044088,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044255,GO:0044297,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044433,GO:0044440,GO:0044444,GO:0044446,GO:0044464,GO:0045017,GO:0045121,GO:0046474,GO:0046486,GO:0046488,GO:0046834,GO:0046854,GO:0046872,GO:0046907,GO:0046914,GO:0048471,GO:0048646,GO:0048731,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051128,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0051716,GO:0052742,GO:0052810,GO:0052866,GO:0061919,GO:0065007,GO:0070727,GO:0071704,GO:0071840,GO:0090407,GO:0097352,GO:0097458,GO:0097708,GO:0098588,GO:0098589,GO:0098791,GO:0098805,GO:0098857,GO:0106018,GO:0120025,GO:1901576,GO:1901981,GO:1902115,GO:1904562,GO:2000785	2.7.1.150,2.7.1.68	ko:K00889,ko:K00921	ko00562,ko01100,ko04011,ko04070,ko04072,ko04139,ko04144,ko04145,ko04666,ko04810,ko05231,map00562,map01100,map04011,map04070,map04072,map04139,map04144,map04145,map04666,map04810,map05231	M00130	R03469,R05802,R10951	RC00002,RC00078	ko00000,ko00001,ko00002,ko01000,ko04131	-	-	-	Cpn60_TCP1,DEP,FYVE,PIP5K
XLOC-034500	45351.EDO38462	2.49e-25	106.0	KOG0167@1|root,KOG4224@1|root,KOG0167@2759|Eukaryota,KOG4224@2759|Eukaryota,38BE5@33154|Opisthokonta,3BBKT@33208|Metazoa	33208|Metazoa	Z	Ethylene-responsive protein kinase Le-CTR1	ARMC3	GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464	-	-	-	-	-	-	-	-	-	-	Arm,EDR1,HEAT_2
XLOC-036787	400682.PAC_15703895	9.14e-15	80.1	293FR@1|root,2RACQ@2759|Eukaryota,39RD5@33154|Opisthokonta,3BAD5@33208|Metazoa	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TRINITY-DN27646-c0-g1-i2	6087.XP_004207304.1	6.99e-164	477.0	2CXYR@1|root,2S0S7@2759|Eukaryota,39ZC1@33154|Opisthokonta,3BU96@33208|Metazoa	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
XLOC-006535	45351.EDO42927	5.73e-53	191.0	KOG2505@1|root,KOG2505@2759|Eukaryota,39G6A@33154|Opisthokonta,3BBNT@33208|Metazoa	33208|Metazoa	A	mitochondria-associated ubiquitin-dependent protein catabolic process	ANKZF1	GO:0000302,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005741,GO:0006508,GO:0006511,GO:0006515,GO:0006807,GO:0006950,GO:0006979,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009636,GO:0009987,GO:0010033,GO:0010035,GO:0010243,GO:0010498,GO:0016020,GO:0019538,GO:0019867,GO:0019941,GO:0030163,GO:0030425,GO:0030433,GO:0031090,GO:0031966,GO:0031967,GO:0031968,GO:0031975,GO:0032991,GO:0033554,GO:0034599,GO:0034614,GO:0034976,GO:0035690,GO:0035966,GO:0035967,GO:0036266,GO:0036477,GO:0036503,GO:0042221,GO:0042493,GO:0042542,GO:0042995,GO:0043005,GO:0043161,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043632,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044463,GO:0044464,GO:0046677,GO:0050896,GO:0051603,GO:0051716,GO:0051788,GO:0070301,GO:0070887,GO:0071218,GO:0071236,GO:0071310,GO:0071630,GO:0071704,GO:0072671,GO:0097237,GO:0097447,GO:0097458,GO:0098588,GO:0098796,GO:0098798,GO:0098799,GO:0098805,GO:0120025,GO:0120038,GO:1901564,GO:1901565,GO:1901575,GO:1901698,GO:1901700,GO:1901701	-	-	-	-	-	-	-	-	-	-	Ank,Ank_5
XLOC-001383	7668.SPU_024768-tr	2.05e-49	169.0	2AACK@1|root,2RYKR@2759|Eukaryota,3A1DR@33154|Opisthokonta,3BQ48@33208|Metazoa,3D3YY@33213|Bilateria	33208|Metazoa	S	Chromosome 7 open reading frame 62	C7orf62	-	-	-	-	-	-	-	-	-	-	-	-
TRINITY-DN27655-c0-g1-i4	7668.SPU_024768-tr	2.05e-49	169.0	2AACK@1|root,2RYKR@2759|Eukaryota,3A1DR@33154|Opisthokonta,3BQ48@33208|Metazoa,3D3YY@33213|Bilateria	33208|Metazoa	S	Chromosome 7 open reading frame 62	C7orf62	-	-	-	-	-	-	-	-	-	-	-	-
TRINITY-DN27655-c0-g1-i5	7668.SPU_024768-tr	2.05e-49	169.0	2AACK@1|root,2RYKR@2759|Eukaryota,3A1DR@33154|Opisthokonta,3BQ48@33208|Metazoa,3D3YY@33213|Bilateria	33208|Metazoa	S	Chromosome 7 open reading frame 62	C7orf62	-	-	-	-	-	-	-	-	-	-	-	-
TRINITY-DN2765-c0-g1-i1	8090.ENSORLP00000016261	2.49e-27	114.0	2EEI7@1|root,2S623@2759|Eukaryota,3A71W@33154|Opisthokonta,3BTGE@33208|Metazoa,3DA1Q@33213|Bilateria,48PWD@7711|Chordata,49FXX@7742|Vertebrata,4A78F@7898|Actinopterygii	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TRINITY-DN2765-c0-g1-i10	8090.ENSORLP00000016261	2.49e-27	114.0	2EEI7@1|root,2S623@2759|Eukaryota,3A71W@33154|Opisthokonta,3BTGE@33208|Metazoa,3DA1Q@33213|Bilateria,48PWD@7711|Chordata,49FXX@7742|Vertebrata,4A78F@7898|Actinopterygii	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TRINITY-DN2765-c0-g1-i11	8090.ENSORLP00000016261	2.49e-27	114.0	2EEI7@1|root,2S623@2759|Eukaryota,3A71W@33154|Opisthokonta,3BTGE@33208|Metazoa,3DA1Q@33213|Bilateria,48PWD@7711|Chordata,49FXX@7742|Vertebrata,4A78F@7898|Actinopterygii	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TRINITY-DN2765-c0-g1-i2	8153.XP_005928057.1	2.82e-23	103.0	2EEI7@1|root,2S623@2759|Eukaryota,3A71W@33154|Opisthokonta,3BTGE@33208|Metazoa,3DA1Q@33213|Bilateria,48PWD@7711|Chordata,49FXX@7742|Vertebrata,4A78F@7898|Actinopterygii	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TRINITY-DN2765-c0-g1-i3	8153.XP_005928057.1	2.82e-23	103.0	2EEI7@1|root,2S623@2759|Eukaryota,3A71W@33154|Opisthokonta,3BTGE@33208|Metazoa,3DA1Q@33213|Bilateria,48PWD@7711|Chordata,49FXX@7742|Vertebrata,4A78F@7898|Actinopterygii	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
XLOC-044263	7955.ENSDARP00000106471	8.07e-50	175.0	28N67@1|root,2QURF@2759|Eukaryota,39Z70@33154|Opisthokonta,3BNIP@33208|Metazoa,3E4WC@33213|Bilateria,48CHQ@7711|Chordata,49ADN@7742|Vertebrata,49Y1K@7898|Actinopterygii	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TRINITY-DN27661-c0-g3-i2	7955.ENSDARP00000106471	8.07e-50	175.0	28N67@1|root,2QURF@2759|Eukaryota,39Z70@33154|Opisthokonta,3BNIP@33208|Metazoa,3E4WC@33213|Bilateria,48CHQ@7711|Chordata,49ADN@7742|Vertebrata,49Y1K@7898|Actinopterygii	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TRINITY-DN27661-c0-g3-i4	7955.ENSDARP00000106471	8.07e-50	175.0	28N67@1|root,2QURF@2759|Eukaryota,39Z70@33154|Opisthokonta,3BNIP@33208|Metazoa,3E4WC@33213|Bilateria,48CHQ@7711|Chordata,49ADN@7742|Vertebrata,49Y1K@7898|Actinopterygii	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
XLOC-032188	7739.XP_002612441.1	1.05e-45	160.0	28K6P@1|root,2QSM7@2759|Eukaryota,39B6F@33154|Opisthokonta,3BFBY@33208|Metazoa,3CZNY@33213|Bilateria,47Z74@7711|Chordata	33208|Metazoa	S	Proline rich 5 like	PRR5L	GO:0001932,GO:0001933,GO:0001934,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0006950,GO:0006979,GO:0007154,GO:0007165,GO:0008150,GO:0009892,GO:0009893,GO:0009894,GO:0009896,GO:0009966,GO:0009967,GO:0009987,GO:0010468,GO:0010562,GO:0010563,GO:0010604,GO:0010605,GO:0010646,GO:0010647,GO:0010762,GO:0014066,GO:0014068,GO:0019219,GO:0019220,GO:0019222,GO:0019899,GO:0023051,GO:0023052,GO:0023056,GO:0030334,GO:0031323,GO:0031324,GO:0031325,GO:0031329,GO:0031331,GO:0031399,GO:0031400,GO:0031401,GO:0031625,GO:0031929,GO:0031932,GO:0032268,GO:0032269,GO:0032270,GO:0032386,GO:0032388,GO:0032879,GO:0032880,GO:0032991,GO:0033157,GO:0033554,GO:0034599,GO:0035556,GO:0038201,GO:0038203,GO:0040012,GO:0042221,GO:0042325,GO:0042326,GO:0042327,GO:0044389,GO:0044424,GO:0044464,GO:0045935,GO:0045936,GO:0045937,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0050789,GO:0050794,GO:0050896,GO:0051049,GO:0051050,GO:0051171,GO:0051172,GO:0051173,GO:0051174,GO:0051222,GO:0051223,GO:0051246,GO:0051247,GO:0051248,GO:0051252,GO:0051254,GO:0051270,GO:0051716,GO:0060255,GO:0060341,GO:0061013,GO:0061014,GO:0065007,GO:0070201,GO:0070887,GO:0080090,GO:0090087,GO:0090316,GO:1902531,GO:1902533,GO:1903311,GO:1903313,GO:1903827,GO:1903829,GO:1904951,GO:2000145	-	ko:K20411	ko04150,map04150	-	-	-	ko00000,ko00001	-	-	-	HbrB
