#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
NV2.25900	45351.EDO28255	1.39e-30	116.0	2A75T@1|root,2RYDE@2759|Eukaryota	2759|Eukaryota	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Phage_integrase
NV2.25903	45351.EDO30019	8.27e-106	357.0	2E3ED@1|root,2SAHD@2759|Eukaryota,3A7DI@33154|Opisthokonta,3BT4U@33208|Metazoa	33208|Metazoa	S	Endonuclease-reverse transcriptase	-	-	-	-	-	-	-	-	-	-	-	-	Exo_endo_phos_2
NV2.25907	45351.EDO25332	1.69e-28	102.0	2BG5J@1|root,2S18N@2759|Eukaryota,3A435@33154|Opisthokonta,3BRGG@33208|Metazoa	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NV2.25912	45351.EDO38031	8.15e-21	97.4	28M66@1|root,2QTNY@2759|Eukaryota,399D7@33154|Opisthokonta,3BKCT@33208|Metazoa	2759|Eukaryota	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NV2.25928	45351.EDO29448	1.71e-65	209.0	2A75T@1|root,2RYDE@2759|Eukaryota	2759|Eukaryota	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Phage_integrase
NV2.25959	45351.EDO38001	1.33e-16	83.2	COG5275@1|root,KOG1968@2759|Eukaryota,39RVH@33154|Opisthokonta,3BANC@33208|Metazoa	33208|Metazoa	O	negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	ATAD5	GO:0000003,GO:0000018,GO:0001775,GO:0002200,GO:0002204,GO:0002208,GO:0002250,GO:0002252,GO:0002263,GO:0002285,GO:0002312,GO:0002366,GO:0002376,GO:0002377,GO:0002381,GO:0002440,GO:0002443,GO:0002449,GO:0002460,GO:0002520,GO:0002562,GO:0002637,GO:0002639,GO:0002682,GO:0002684,GO:0002694,GO:0002696,GO:0002697,GO:0002699,GO:0002700,GO:0002702,GO:0002703,GO:0002705,GO:0002706,GO:0002708,GO:0002712,GO:0002714,GO:0002819,GO:0002821,GO:0002822,GO:0002824,GO:0002889,GO:0002891,GO:0003006,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006310,GO:0006725,GO:0006807,GO:0006915,GO:0006950,GO:0006955,GO:0006974,GO:0007049,GO:0007154,GO:0007165,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007346,GO:0008150,GO:0008152,GO:0008219,GO:0008283,GO:0008284,GO:0008630,GO:0009058,GO:0009059,GO:0009893,GO:0009966,GO:0009968,GO:0009987,GO:0010564,GO:0010604,GO:0010646,GO:0010648,GO:0010941,GO:0012501,GO:0016064,GO:0016444,GO:0016445,GO:0016447,GO:0019219,GO:0019222,GO:0019724,GO:0019953,GO:0022402,GO:0022412,GO:0022414,GO:0023051,GO:0023052,GO:0023057,GO:0030154,GO:0030888,GO:0030890,GO:0031323,GO:0031325,GO:0031391,GO:0032501,GO:0032502,GO:0032504,GO:0032943,GO:0032944,GO:0032946,GO:0032991,GO:0033260,GO:0033554,GO:0034641,GO:0034645,GO:0035556,GO:0042100,GO:0042113,GO:0042127,GO:0042770,GO:0042771,GO:0042981,GO:0043066,GO:0043067,GO:0043069,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044422,GO:0044424,GO:0044427,GO:0044446,GO:0044464,GO:0044703,GO:0044786,GO:0045190,GO:0045191,GO:0045321,GO:0045830,GO:0045911,GO:0045935,GO:0046483,GO:0046649,GO:0046651,GO:0048302,GO:0048304,GO:0048468,GO:0048477,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048585,GO:0048609,GO:0048731,GO:0048856,GO:0048869,GO:0050670,GO:0050671,GO:0050776,GO:0050778,GO:0050789,GO:0050793,GO:0050794,GO:0050864,GO:0050865,GO:0050867,GO:0050871,GO:0050896,GO:0051052,GO:0051054,GO:0051094,GO:0051171,GO:0051173,GO:0051239,GO:0051240,GO:0051249,GO:0051251,GO:0051704,GO:0051716,GO:0051726,GO:0060255,GO:0060548,GO:0065007,GO:0070661,GO:0070663,GO:0070665,GO:0071704,GO:0072331,GO:0072332,GO:0080090,GO:0080134,GO:0080135,GO:0090304,GO:0090305,GO:0097190,GO:0097193,GO:1901360,GO:1901576,GO:1901796,GO:1901797,GO:1901987,GO:1901990,GO:1902165,GO:1902166,GO:1902229,GO:1902230,GO:1902253,GO:1902254,GO:1902494,GO:1902531,GO:1902532,GO:1904949,GO:2000026,GO:2001020,GO:2001021,GO:2001233,GO:2001234,GO:2001242,GO:2001243	-	-	-	-	-	-	-	-	-	-	AAA
NV2.25960	45351.EDO33966	6.02e-312	848.0	KOG2369@1|root,KOG2369@2759|Eukaryota,38DE3@33154|Opisthokonta,3BDIK@33208|Metazoa	33208|Metazoa	I	phosphatidylethanolamine catabolic process	PLA2G15	GO:0000323,GO:0003674,GO:0003824,GO:0004620,GO:0004622,GO:0004623,GO:0005488,GO:0005543,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005764,GO:0005773,GO:0006082,GO:0006629,GO:0006631,GO:0006643,GO:0006644,GO:0006650,GO:0006665,GO:0006672,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008289,GO:0008374,GO:0009056,GO:0009062,GO:0009395,GO:0009987,GO:0016042,GO:0016054,GO:0016298,GO:0016740,GO:0016746,GO:0016747,GO:0016787,GO:0016788,GO:0019637,GO:0019752,GO:0031974,GO:0031981,GO:0032787,GO:0034638,GO:0034641,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043436,GO:0043603,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044281,GO:0044282,GO:0044421,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0046337,GO:0046338,GO:0046395,GO:0046434,GO:0046470,GO:0046475,GO:0046486,GO:0046503,GO:0047499,GO:0052689,GO:0070013,GO:0071704,GO:0072329,GO:0097164,GO:1901564,GO:1901565,GO:1901575	3.1.1.5	ko:K06129	ko00564,ko04142,map00564,map04142	-	R02746	RC00020,RC00041	ko00000,ko00001,ko01000	-	-	-	LCAT
NV2.25961	45351.EDO32875	8.36e-249	692.0	KOG3714@1|root,KOG3714@2759|Eukaryota,39D5R@33154|Opisthokonta,3BAX3@33208|Metazoa	33208|Metazoa	O	Meprin A	-	-	3.4.24.63	ko:K08606	ko04974,map04974	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	Astacin,MAM
NV2.25963	45351.EDO48213	7.95e-100	308.0	KOG1453@1|root,KOG1453@2759|Eukaryota,38DJM@33154|Opisthokonta,3BB6R@33208|Metazoa	33208|Metazoa	T	GTPase activator activity	ARHGAP29	GO:0000323,GO:0001775,GO:0002252,GO:0002263,GO:0002274,GO:0002275,GO:0002283,GO:0002366,GO:0002376,GO:0002443,GO:0002444,GO:0002446,GO:0003674,GO:0005096,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005766,GO:0005773,GO:0005775,GO:0005829,GO:0006810,GO:0006887,GO:0006955,GO:0007154,GO:0007165,GO:0007264,GO:0007265,GO:0007266,GO:0008047,GO:0008150,GO:0009966,GO:0009987,GO:0010646,GO:0012505,GO:0016192,GO:0019904,GO:0023051,GO:0023052,GO:0030141,GO:0030165,GO:0030234,GO:0030695,GO:0031410,GO:0031974,GO:0031982,GO:0031983,GO:0032940,GO:0034774,GO:0035556,GO:0035578,GO:0036230,GO:0042119,GO:0042582,GO:0043085,GO:0043087,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043299,GO:0043312,GO:0043547,GO:0044093,GO:0044422,GO:0044424,GO:0044433,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0045055,GO:0045321,GO:0046903,GO:0048583,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051056,GO:0051179,GO:0051234,GO:0051336,GO:0051345,GO:0051716,GO:0060205,GO:0060589,GO:0065007,GO:0065009,GO:0070013,GO:0097708,GO:0098772,GO:0099503,GO:1902531	-	ko:K20644	-	-	-	-	ko00000,ko04131	-	-	-	C1_1,RhoGAP
NV2.25964	45351.EDO48213	3.37e-40	154.0	KOG1453@1|root,KOG1453@2759|Eukaryota,38DJM@33154|Opisthokonta,3BB6R@33208|Metazoa	33208|Metazoa	T	GTPase activator activity	ARHGAP29	GO:0000323,GO:0001775,GO:0002252,GO:0002263,GO:0002274,GO:0002275,GO:0002283,GO:0002366,GO:0002376,GO:0002443,GO:0002444,GO:0002446,GO:0003674,GO:0005096,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005766,GO:0005773,GO:0005775,GO:0005829,GO:0006810,GO:0006887,GO:0006955,GO:0007154,GO:0007165,GO:0007264,GO:0007265,GO:0007266,GO:0008047,GO:0008150,GO:0009966,GO:0009987,GO:0010646,GO:0012505,GO:0016192,GO:0019904,GO:0023051,GO:0023052,GO:0030141,GO:0030165,GO:0030234,GO:0030695,GO:0031410,GO:0031974,GO:0031982,GO:0031983,GO:0032940,GO:0034774,GO:0035556,GO:0035578,GO:0036230,GO:0042119,GO:0042582,GO:0043085,GO:0043087,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043299,GO:0043312,GO:0043547,GO:0044093,GO:0044422,GO:0044424,GO:0044433,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0045055,GO:0045321,GO:0046903,GO:0048583,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051056,GO:0051179,GO:0051234,GO:0051336,GO:0051345,GO:0051716,GO:0060205,GO:0060589,GO:0065007,GO:0065009,GO:0070013,GO:0097708,GO:0098772,GO:0099503,GO:1902531	-	ko:K20644	-	-	-	-	ko00000,ko04131	-	-	-	C1_1,RhoGAP
NV2.25966	45351.EDO48214	0.0	1204.0	29B7U@1|root,2RIAR@2759|Eukaryota	2759|Eukaryota	-	-	C1orf87	-	-	-	-	-	-	-	-	-	-	-	-
NV2.25932	45351.EDO43935	3.99e-56	177.0	2E1MT@1|root,2S8Y5@2759|Eukaryota,3A8IK@33154|Opisthokonta,3BUEC@33208|Metazoa	33208|Metazoa	S	Putative Interleukin 2 receptor, gamma chain	-	-	-	-	-	-	-	-	-	-	-	-	Il2rg
NV2.25933	45351.EDO43934	5.68e-95	287.0	KOG0401@1|root,KOG0401@2759|Eukaryota,399I9@33154|Opisthokonta,3BHT4@33208|Metazoa	33208|Metazoa	J	translation activator activity	PAIP1	GO:0002118,GO:0002121,GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006412,GO:0006413,GO:0006417,GO:0006518,GO:0006807,GO:0007610,GO:0007635,GO:0008150,GO:0008152,GO:0008494,GO:0009058,GO:0009059,GO:0009889,GO:0009891,GO:0009892,GO:0009893,GO:0009894,GO:0009895,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010605,GO:0010608,GO:0010628,GO:0019219,GO:0019222,GO:0019538,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031328,GO:0031329,GO:0031330,GO:0032268,GO:0032270,GO:0034248,GO:0034250,GO:0034641,GO:0034645,GO:0042048,GO:0042221,GO:0043043,GO:0043170,GO:0043487,GO:0043488,GO:0043489,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0045182,GO:0045727,GO:0045934,GO:0048255,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051173,GO:0051246,GO:0051247,GO:0051252,GO:0051253,GO:0051704,GO:0051705,GO:0060255,GO:0061013,GO:0065007,GO:0065008,GO:0071704,GO:0080090,GO:0090079,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1902369,GO:1902373,GO:1903311,GO:1903312,GO:2000112	-	ko:K14322	ko03013,map03013	-	-	-	ko00000,ko00001,ko03019	-	-	-	MIF4G,PAM2
NV2.25934	10224.XP_002740782.1	0.0	928.0	COG2801@1|root,KOG0017@2759|Eukaryota,38F42@33154|Opisthokonta,3BA5H@33208|Metazoa,3CWAK@33213|Bilateria	33208|Metazoa	E	K02A2.6-like	-	-	-	-	-	-	-	-	-	-	-	-	Asp_protease_2,RVT_1,rve,zf-CCHC
NV2.25935	45351.EDO43934	1.1e-105	317.0	KOG0401@1|root,KOG0401@2759|Eukaryota,399I9@33154|Opisthokonta,3BHT4@33208|Metazoa	33208|Metazoa	J	translation activator activity	PAIP1	GO:0002118,GO:0002121,GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006412,GO:0006413,GO:0006417,GO:0006518,GO:0006807,GO:0007610,GO:0007635,GO:0008150,GO:0008152,GO:0008494,GO:0009058,GO:0009059,GO:0009889,GO:0009891,GO:0009892,GO:0009893,GO:0009894,GO:0009895,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010605,GO:0010608,GO:0010628,GO:0019219,GO:0019222,GO:0019538,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031328,GO:0031329,GO:0031330,GO:0032268,GO:0032270,GO:0034248,GO:0034250,GO:0034641,GO:0034645,GO:0042048,GO:0042221,GO:0043043,GO:0043170,GO:0043487,GO:0043488,GO:0043489,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0045182,GO:0045727,GO:0045934,GO:0048255,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051173,GO:0051246,GO:0051247,GO:0051252,GO:0051253,GO:0051704,GO:0051705,GO:0060255,GO:0061013,GO:0065007,GO:0065008,GO:0071704,GO:0080090,GO:0090079,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1902369,GO:1902373,GO:1903311,GO:1903312,GO:2000112	-	ko:K14322	ko03013,map03013	-	-	-	ko00000,ko00001,ko03019	-	-	-	MIF4G,PAM2
NV2.25937	45351.EDO49931	0.0	1242.0	KOG1042@1|root,KOG1042@2759|Eukaryota,38BVC@33154|Opisthokonta,3BG0U@33208|Metazoa	33208|Metazoa	D	Belongs to the argonaute family	PIWIL1	GO:0000003,GO:0003006,GO:0003674,GO:0003676,GO:0003723,GO:0003727,GO:0003729,GO:0003824,GO:0004518,GO:0004519,GO:0004521,GO:0004540,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006304,GO:0006305,GO:0006306,GO:0006323,GO:0006325,GO:0006338,GO:0006417,GO:0006725,GO:0006807,GO:0006996,GO:0006997,GO:0007276,GO:0007281,GO:0007283,GO:0007286,GO:0007289,GO:0008150,GO:0008152,GO:0009653,GO:0009889,GO:0009892,GO:0009987,GO:0010468,GO:0010528,GO:0010529,GO:0010556,GO:0010605,GO:0010608,GO:0010629,GO:0016043,GO:0016070,GO:0016458,GO:0016787,GO:0016788,GO:0019222,GO:0019899,GO:0019900,GO:0019901,GO:0019953,GO:0022412,GO:0022414,GO:0030154,GO:0031047,GO:0031323,GO:0031326,GO:0031974,GO:0031981,GO:0032259,GO:0032268,GO:0032501,GO:0032502,GO:0032504,GO:0032991,GO:0033391,GO:0034248,GO:0034584,GO:0034587,GO:0034641,GO:0034660,GO:0034728,GO:0035092,GO:0035093,GO:0035770,GO:0036464,GO:0043044,GO:0043046,GO:0043170,GO:0043186,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043412,GO:0043414,GO:0043486,GO:0043933,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0044703,GO:0044728,GO:0045495,GO:0046483,GO:0048232,GO:0048468,GO:0048515,GO:0048519,GO:0048523,GO:0048609,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0051171,GO:0051246,GO:0051276,GO:0051704,GO:0060255,GO:0060293,GO:0065007,GO:0070013,GO:0071103,GO:0071547,GO:0071704,GO:0071824,GO:0071840,GO:0080090,GO:0090304,GO:0090305,GO:0090501,GO:0090502,GO:0097159,GO:0097433,GO:0140098,GO:1901360,GO:1901363,GO:1990904,GO:2000112	-	ko:K02156	ko04320,map04320	-	-	-	ko00000,ko00001,ko03036	-	-	-	ArgoL1,GAGE,PAZ,Piwi
NV2.25940	45351.EDO36231	4.36e-92	274.0	COG2940@1|root,KOG1082@2759|Eukaryota,38C0T@33154|Opisthokonta,3BBDM@33208|Metazoa	33208|Metazoa	B	histone H3-K9 dimethylation	SUV39H2	GO:0000003,GO:0000122,GO:0000183,GO:0000228,GO:0000280,GO:0000775,GO:0000785,GO:0000790,GO:0000792,GO:0000793,GO:0000794,GO:0000976,GO:0000977,GO:0001012,GO:0001067,GO:0001654,GO:0001666,GO:0003006,GO:0003674,GO:0003676,GO:0003677,GO:0003682,GO:0003690,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005652,GO:0005654,GO:0005677,GO:0005694,GO:0005700,GO:0005701,GO:0005720,GO:0006139,GO:0006259,GO:0006304,GO:0006305,GO:0006306,GO:0006323,GO:0006325,GO:0006333,GO:0006338,GO:0006342,GO:0006348,GO:0006355,GO:0006357,GO:0006464,GO:0006479,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007049,GO:0007140,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007423,GO:0008144,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0008213,GO:0008270,GO:0008276,GO:0008356,GO:0008757,GO:0009628,GO:0009653,GO:0009887,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010369,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0016043,GO:0016278,GO:0016279,GO:0016458,GO:0016569,GO:0016570,GO:0016571,GO:0016740,GO:0016741,GO:0017053,GO:0017145,GO:0018022,GO:0018023,GO:0018024,GO:0018027,GO:0018193,GO:0018205,GO:0019219,GO:0019222,GO:0019538,GO:0019953,GO:0022402,GO:0022412,GO:0022414,GO:0022607,GO:0030154,GO:0030702,GO:0031016,GO:0031017,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031497,GO:0031507,GO:0031974,GO:0031981,GO:0032259,GO:0032501,GO:0032502,GO:0032504,GO:0032991,GO:0033553,GO:0033554,GO:0034399,GO:0034401,GO:0034641,GO:0034968,GO:0035272,GO:0036123,GO:0036124,GO:0036211,GO:0036293,GO:0036294,GO:0040029,GO:0042054,GO:0042078,GO:0042221,GO:0042752,GO:0042754,GO:0043010,GO:0043167,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043412,GO:0043414,GO:0043565,GO:0044085,GO:0044212,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044446,GO:0044451,GO:0044454,GO:0044464,GO:0044703,GO:0044728,GO:0045814,GO:0045892,GO:0045934,GO:0046483,GO:0046872,GO:0046914,GO:0046974,GO:0047485,GO:0048037,GO:0048132,GO:0048232,GO:0048285,GO:0048468,GO:0048477,GO:0048513,GO:0048519,GO:0048523,GO:0048583,GO:0048585,GO:0048592,GO:0048593,GO:0048609,GO:0048731,GO:0048732,GO:0048856,GO:0048869,GO:0050662,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0051276,GO:0051301,GO:0051321,GO:0051567,GO:0051704,GO:0051716,GO:0055123,GO:0060041,GO:0060042,GO:0060255,GO:0061647,GO:0065007,GO:0070013,GO:0070482,GO:0070828,GO:0070868,GO:0070887,GO:0071103,GO:0071453,GO:0071456,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0090568,GO:0090596,GO:0097159,GO:0097549,GO:0098687,GO:0098722,GO:0098728,GO:0140013,GO:0140096,GO:1901360,GO:1901363,GO:1901564,GO:1901681,GO:1902679,GO:1903046,GO:1903506,GO:1903507,GO:1904047,GO:1990837,GO:2000112,GO:2000113,GO:2001141,GO:2001228,GO:2001229	2.1.1.43	ko:K02358,ko:K11419	ko00310,map00310	-	R03875,R03938,R04866,R04867	RC00003,RC00060,RC00181,RC00496	ko00000,ko00001,ko01000,ko03012,ko03029,ko03036,ko04147	-	-	-	Chromo,Pre-SET,SET
