gene_ids,uniprot_id,uniprot_genes
XLOC-000028#SH24A-HUMAN#Q9H788,Q9H788,SH2D4A
XLOC-000998#EFC11-RAT#Q6AXQ2,Q6AXQ2,Efcab11
XLOC-000999#DCTD-MOUSE#Q8K2D6,Q8K2D6,Dctd
XLOC-000024#WDR55-ARATH#O80775,O80775,WDR55
XLOC-001002#DIAP2-HUMAN#O60879,O60879,DIAPH2
XLOC-001006#RM22-DROME#Q9VXB5,Q9VXB5,mRpL22
XLOC-001001#HERC2-HUMAN#O95714,O95714,HERC2
XLOC-000025#SC6A9-XENLA#A7Y2W8,A7Y2W8,slc6a9
XLOC-000031#KCTD7-MOUSE#Q8BJK1,Q8BJK1,Kctd7
XLOC-000027#WNT2B-MOUSE#O70283,O70283,Wnt2b
XLOC-000034#T10B-PONAB#Q5RDJ0,Q5RDJ0,TIMM10B
gene-evm.model.ptg000003l.64,gene-evm.model.ptg000003l.64,gene-evm.model.ptg000003l.64
XLOC-000029#PGAP2-RAT#Q2ABP3,Q2ABP3,Pgap2
XLOC-000033#HMGH-STRPU#P40644,P40644,HMG1
XLOC-000030#TFAP4-HUMAN#Q01664,Q01664,TFAP4
XLOC-000042#SYIC-HUMAN#P41252,P41252,IARS1
XLOC-000037#GEMI5-HUMAN#Q8TEQ6,Q8TEQ6,GEMIN5
XLOC-001005#CLCN5-PIG#Q9GKE7,Q9GKE7,CLCN5
XLOC-000036#XLOC-000036,XLOC-000036#XLOC-000036,XLOC-000036#XLOC-000036
XLOC-001007#XLOC-001007,XLOC-001007#XLOC-001007,XLOC-001007#XLOC-001007
XLOC-001013#BBS7-MOUSE#Q8K2G4,Q8K2G4,Bbs7
XLOC-000038#XLOC-000038,XLOC-000038#XLOC-000038,XLOC-000038#XLOC-000038
XLOC-000039#KCTD6-DANRE#Q6DG99,Q6DG99,kctd6
XLOC-000040#KCTD6-DANRE#Q6DG99,Q6DG99,kctd6
XLOC-001009#MKRN1-TAKRU#Q5NU14,Q5NU14,mkrn1
XLOC-001011#CDKL5-MOUSE#Q3UTQ8,Q3UTQ8,Cdkl5
XLOC-001025#RMC1-HUMAN#Q96DM3,Q96DM3,RMC1
XLOC-001010#GEN-HUMAN#Q17RS7,Q17RS7,GEN1
gene-evm.model.ptg000003l.94#TSR2-DANRE#Q3KRG3,Q3KRG3,tsr2
XLOC-000045#LIPR2-BOVIN#A5PK46,A5PK46,PNLIPRP2
gene-evm.model.ptg000003l.93#gene-evm.model.ptg000003l.93,gene-evm.model.ptg000003l.93#gene-evm.model.ptg000003l.93,gene-evm.model.ptg000003l.93#gene-evm.model.ptg000003l.93
XLOC-001012#BBS7-MOUSE#Q8K2G4,Q8K2G4,Bbs7
XLOC-001015#KGP-PLAF7#Q8I719,Q8I719,PKG
XLOC-000041#PPA5-RABIT#O97860,O97860,ACP5
gene-evm.model.ptg000003l.97#S2536-MOUSE#Q922G0,Q922G0,Slc25a36
XLOC-001022#SC24B-HUMAN#O95487,O95487,SEC24B
XLOC-001016#NDUA5-BOVIN#P23935,P23935,NDUFA5
XLOC-001026#SH3R3-HUMAN#Q8TEJ3,Q8TEJ3,SH3RF3
gene-evm.model.ptg000003l.93-1,gene-evm.model.ptg000003l.93-1,gene-evm.model.ptg000003l.93-1
XLOC-001019#XLOC-001019,XLOC-001019#XLOC-001019,XLOC-001019#XLOC-001019
gene-evm.model.ptg000003l.97-1,gene-evm.model.ptg000003l.97-1,gene-evm.model.ptg000003l.97-1
XLOC-001021#XLOC-001021,XLOC-001021#XLOC-001021,XLOC-001021#XLOC-001021
XLOC-000046#COT2-BOVIN#Q9TTR7,Q9TTR7,NR2F2
gene-evm.model.ptg000003l.110#MT799-ARATH#Q9FKC8,Q9FKC8,At5g37990
XLOC-001023#PUR4-HUMAN#O15067,O15067,PFAS
XLOC-001024#RAGP1-MOUSE#P46061,P46061,Rangap1
XLOC-000047#ACHA7-BOVIN#P54131,P54131,CHRNA7
XLOC-001030#CBP-RAT#Q6JHU9,Q6JHU9,Crebbp
XLOC-001027#CBP-MOUSE#P45481,P45481,Crebbp
gene-evm.model.ptg000003l.106-1,gene-evm.model.ptg000003l.106-1,gene-evm.model.ptg000003l.106-1
gene-evm.model.ptg000003l.107#gene-evm.model.ptg000003l.107,gene-evm.model.ptg000003l.107#gene-evm.model.ptg000003l.107,gene-evm.model.ptg000003l.107#gene-evm.model.ptg000003l.107
XLOC-001029#IF140-MOUSE#E9PY46,E9PY46,Ift140
XLOC-001033#FBLN5-BOVIN#Q5EA62,Q5EA62,FBLN5
XLOC-000056#XLOC-000056,XLOC-000056#XLOC-000056,XLOC-000056#XLOC-000056
XLOC-001032#XLOC-001032,XLOC-001032#XLOC-001032,XLOC-001032#XLOC-001032
XLOC-000058#XLOC-000058,XLOC-000058#XLOC-000058,XLOC-000058#XLOC-000058
XLOC-000053#INF2-XENLA#Q6NTV6,Q6NTV6,inf2
XLOC-000062#PTPC1-DANRE#A1L1R5,A1L1R5,ptpdc1
XLOC-001039#COA5-DANRE#Q0P451,Q0P451,coa5
XLOC-000063#MICU3-RAT#A0A8I6A2H6,A0A8I6A2H6,Micu3
XLOC-001034#BAT1-RABIT#Q9N1R6,Q9N1R6,SLC7A9
XLOC-000048#N4BP2-HUMAN#Q86UW6,Q86UW6,N4BP2
XLOC-001035#TF21-SCHPO#P0CT34,P0CT34,Tf2-1
XLOC-000051#XLOC-000051,XLOC-000051#XLOC-000051,XLOC-000051#XLOC-000051
XLOC-000054#XLOC-000054,XLOC-000054#XLOC-000054,XLOC-000054#XLOC-000054
gene-evm.model.ptg000003l.122#FRM4B-MOUSE#Q920B0,Q920B0,Frmd4b
XLOC-001042#XLOC-001042,XLOC-001042#XLOC-001042,XLOC-001042#XLOC-001042
XLOC-000052#FRM4B-MOUSE#Q920B0,Q920B0,Frmd4b
XLOC-000055#XLOC-000055,XLOC-000055#XLOC-000055,XLOC-000055#XLOC-000055
gene-evm.model.ptg000003l.148#gene-evm.model.ptg000003l.148,gene-evm.model.ptg000003l.148#gene-evm.model.ptg000003l.148,gene-evm.model.ptg000003l.148#gene-evm.model.ptg000003l.148
XLOC-001041#T23O-ANOGA#O77457,O77457,AGAP002721
XLOC-001040#XLOC-001040,XLOC-001040#XLOC-001040,XLOC-001040#XLOC-001040
XLOC-001043#LIAS-TRIAD#B3SBB5,B3SBB5,TRIADDRAFT_38449
XLOC-001044#XLOC-001044,XLOC-001044#XLOC-001044,XLOC-001044#XLOC-001044
gene-evm.model.ptg000003l.140#FACE2-HUMAN#Q9Y256,Q9Y256,RCE1
XLOC-001045#PDI22-ORYSJ#Q942L2,Q942L2,PDIL2-2
XLOC-001053#FOXD3-RAT#Q63245,Q63245,Foxd3
XLOC-001046#XLOC-001046,XLOC-001046#XLOC-001046,XLOC-001046#XLOC-001046
XLOC-001047#CADN-ACRMI#B3EWZ3,B3EWZ3,XLOC-001047#CADN-ACRMI#B3EWZ3
gene-evm.model.ptg000003l.138#TRAP1-HUMAN#Q12931,Q12931,TRAP1
XLOC-001049#MARH8-HUMAN#Q5T0T0,Q5T0T0,MARCHF8
XLOC-001051#XLOC-001051,XLOC-001051#XLOC-001051,XLOC-001051#XLOC-001051
XLOC-000061#TREA-HUMAN#O43280,O43280,TREH
XLOC-000066#TES-LOXAF#Q108U9,Q108U9,TES
XLOC-001052#XLOC-001052,XLOC-001052#XLOC-001052,XLOC-001052#XLOC-001052
XLOC-000064#XLOC-000064,XLOC-000064#XLOC-000064,XLOC-000064#XLOC-000064
XLOC-000065#SH319-HUMAN#Q5HYK7,Q5HYK7,SH3D19
gene-evm.model.ptg000003l.146-1,gene-evm.model.ptg000003l.146-1,gene-evm.model.ptg000003l.146-1
XLOC-000067#XLOC-000067,XLOC-000067#XLOC-000067,XLOC-000067#XLOC-000067
XLOC-000070#ZIFL1-ARATH#Q94BZ1,Q94BZ1,ZIFL1
XLOC-000071#DNJA3-MOUSE#Q99M87,Q99M87,Dnaja3
XLOC-001056#FAT1-HUMAN#Q14517,Q14517,FAT1
XLOC-001055#GLIS2-HUMAN#Q9BZE0,Q9BZE0,GLIS2
XLOC-000072#STK16-RAT#P57760,P57760,Stk16
XLOC-001058#TAF1-HUMAN#P21675,P21675,TAF1
XLOC-000073#DGP10-ARATH#Q9FIV6,Q9FIV6,DEGP10
XLOC-000074#ANO4-HUMAN#Q32M45,Q32M45,ANO4
XLOC-001060#UBP15-RAT#Q9R085,Q9R085,Usp15
XLOC-001057#XLOC-001057,XLOC-001057#XLOC-001057,XLOC-001057#XLOC-001057
XLOC-001064#G3BP2-HUMAN#Q9UN86,Q9UN86,G3BP2
XLOC-001063#XLOC-001063,XLOC-001063#XLOC-001063,XLOC-001063#XLOC-001063
XLOC-000091#SP20H-MOUSE#Q7TT00,Q7TT00,Supt20h
XLOC-001065#CLIP4-RAT#Q66HD5,Q66HD5,Clip4
XLOC-000095#XLOC-000095,XLOC-000095#XLOC-000095,XLOC-000095#XLOC-000095
XLOC-001070#XLOC-001070,XLOC-001070#XLOC-001070,XLOC-001070#XLOC-001070
XLOC-001059#XLOC-001059,XLOC-001059#XLOC-001059,XLOC-001059#XLOC-001059
XLOC-000075#XLOC-000075,XLOC-000075#XLOC-000075,XLOC-000075#XLOC-000075
gene-evm.model.ptg000003l.165#gene-evm.model.ptg000003l.165,gene-evm.model.ptg000003l.165#gene-evm.model.ptg000003l.165,gene-evm.model.ptg000003l.165#gene-evm.model.ptg000003l.165
XLOC-000076#XLOC-000076,XLOC-000076#XLOC-000076,XLOC-000076#XLOC-000076
gene-evm.model.ptg000003l.171,gene-evm.model.ptg000003l.171,gene-evm.model.ptg000003l.171
XLOC-000083#XLOC-000083,XLOC-000083#XLOC-000083,XLOC-000083#XLOC-000083
XLOC-000084#POL-HV1Z2#P12499,P12499,gag-pol
XLOC-000088#XLOC-000088,XLOC-000088#XLOC-000088,XLOC-000088#XLOC-000088
XLOC-000104#XLOC-000104,XLOC-000104#XLOC-000104,XLOC-000104#XLOC-000104
XLOC-001067#ALG5-HUMAN#Q9Y673,Q9Y673,ALG5
XLOC-000090#EXOS8-MOUSE#Q9D753,Q9D753,Exosc8
XLOC-000094#ARHG8-HUMAN#Q7Z628,Q7Z628,NET1
gene-evm.model.ptg000003l.186,gene-evm.model.ptg000003l.186,gene-evm.model.ptg000003l.186
XLOC-000093#KIF9-MOUSE#Q9WV04,Q9WV04,Kif9
XLOC-001069#TPPC2-BOVIN#Q3T0F2,Q3T0F2,TRAPPC2
XLOC-000092#KIF9-MOUSE#Q9WV04,Q9WV04,Kif9
gene-evm.model.ptg000003l.205#gene-evm.model.ptg000003l.205,gene-evm.model.ptg000003l.205#gene-evm.model.ptg000003l.205,gene-evm.model.ptg000003l.205#gene-evm.model.ptg000003l.205
XLOC-000101#HMGB3-BOVIN#Q32L31,Q32L31,HMGB3
XLOC-001080#NDKB-PONAB#Q5RFH3,Q5RFH3,NME2
XLOC-001072#PWP2-MOUSE#Q8BU03,Q8BU03,Pwp2
XLOC-000096#FUCL1-ANGJA#Q9I931,Q9I931,XLOC-000096#FUCL1-ANGJA#Q9I931
gene-evm.model.ptg000003l.195#FUCL1-ANGJA#Q9I931,Q9I931,gene-evm.model.ptg000003l.195#FUCL1-ANGJA#Q9I931
XLOC-000103#FGFR1-CHICK#P21804,P21804,FGFR1
XLOC-001073#U518-NEMVE#A7S6A1,A7S6A1,v1g243165
XLOC-000098#XLOC-000098,XLOC-000098#XLOC-000098,XLOC-000098#XLOC-000098
XLOC-000099#XLOC-000099,XLOC-000099#XLOC-000099,XLOC-000099#XLOC-000099
XLOC-001071#FCNV1-CERRY#D8VNS7,D8VNS7,XLOC-001071#FCNV1-CERRY#D8VNS7
XLOC-001075#SNX25-HUMAN#Q9H3E2,Q9H3E2,SNX25
XLOC-000109#RHG06-MOUSE#O54834,O54834,Arhgap6
XLOC-000100#STL1-ARATH#O22943,O22943,STL1
gene-evm.model.ptg000003l.203#T185B-HUMAN#Q9H7F4,Q9H7F4,TMEM185B
gene-evm.model.ptg000003l.215,gene-evm.model.ptg000003l.215,gene-evm.model.ptg000003l.215
XLOC-001074#XLOC-001074,XLOC-001074#XLOC-001074,XLOC-001074#XLOC-001074
gene-evm.model.ptg000003l.233#gene-evm.model.ptg000003l.233,gene-evm.model.ptg000003l.233#gene-evm.model.ptg000003l.233,gene-evm.model.ptg000003l.233#gene-evm.model.ptg000003l.233
XLOC-000105#DDX41-DICDI#Q54KG1,Q54KG1,ddx41
XLOC-001076#XLOC-001076,XLOC-001076#XLOC-001076,XLOC-001076#XLOC-001076
XLOC-000106#XLOC-000106,XLOC-000106#XLOC-000106,XLOC-000106#XLOC-000106
XLOC-001083#XLOC-001083,XLOC-001083#XLOC-001083,XLOC-001083#XLOC-001083
XLOC-001077#XLOC-001077,XLOC-001077#XLOC-001077,XLOC-001077#XLOC-001077
XLOC-000107#XLOC-000107,XLOC-000107#XLOC-000107,XLOC-000107#XLOC-000107
XLOC-001084#DRGX-HUMAN#A6NNA5,A6NNA5,DRGX
XLOC-001082#XLOC-001082,XLOC-001082#XLOC-001082,XLOC-001082#XLOC-001082
XLOC-001092#DCNL5-MOUSE#Q9CXV9,Q9CXV9,Dcun1d5
XLOC-001081#LORF2-MOUSE#P11369,P11369,Pol
XLOC-001087#XLOC-001087,XLOC-001087#XLOC-001087,XLOC-001087#XLOC-001087
XLOC-000110#XLOC-000110,XLOC-000110#XLOC-000110,XLOC-000110#XLOC-000110
XLOC-000111#CETN3-HUMAN#O15182,O15182,CETN3
XLOC-001085#XLOC-001085,XLOC-001085#XLOC-001085,XLOC-001085#XLOC-001085
XLOC-000112#PAX6-DANRE#P26630,P26630,pax6a
XLOC-001091#PD5BA-XENLA#Q498H0,Q498H0,pds5b-a
XLOC-000114#COMD8-MOUSE#Q9CZG3,Q9CZG3,Commd8
XLOC-000118#RBM26-HUMAN#Q5T8P6,Q5T8P6,RBM26
XLOC-000117#SMCA5-MOUSE#Q91ZW3,Q91ZW3,Smarca5
XLOC-001088#YIPF6-XENTR#Q28CH8,Q28CH8,yipf6
XLOC-001089#K0754-MOUSE#Q69ZZ9,Q69ZZ9,Macf1
gene-evm.model.ptg000003l.232-1#gene-evm.model.ptg000003l.232,gene-evm.model.ptg000003l.232-1#gene-evm.model.ptg000003l.232,gene-evm.model.ptg000003l.232-1#gene-evm.model.ptg000003l.232
XLOC-000122#MTM1-XENLA#Q52KU6,Q52KU6,mtm1
gene-evm.model.ptg000003l.234#PDS5A-CHICK#Q5F3V3,Q5F3V3,PDS5A
gene-evm.model.ptg000003l.245#PDE11-DROME#Q9VJ79,Q9VJ79,Pde11
gene-evm.model.ptg000003l.235,gene-evm.model.ptg000003l.235,gene-evm.model.ptg000003l.235
XLOC-000119#XLOC-000119,XLOC-000119#XLOC-000119,XLOC-000119#XLOC-000119
XLOC-001093#TM272-HUMAN#A0A1B0GTI8,A0A1B0GTI8,TMEM272
XLOC-001095#PDE11-DROME#Q9VJ79,Q9VJ79,Pde11
XLOC-000120#STNG2-STYPI#A0A2B4SJA1,A0A2B4SJA1,STING2
XLOC-001094#TKFC-MOUSE#Q8VC30,Q8VC30,Tkfc
XLOC-000121#TKFC-MOUSE#Q8VC30,Q8VC30,Tkfc
XLOC-000137#RS23-ICTPU#Q90YQ1,Q90YQ1,rps23
XLOC-000136#FGF16-DANRE#Q2HXK8,Q2HXK8,fgf16
gene-evm.model.ptg000003l.254#ATG7-CHICK#Q5ZKY2,Q5ZKY2,ATG7
XLOC-000133#CDD-DICDI#Q54I82,Q54I82,cda
XLOC-000134#XLOC-000134,XLOC-000134#XLOC-000134,XLOC-000134#XLOC-000134
gene-evm.model.ptg000003l.255#gene-evm.model.ptg000003l.255,gene-evm.model.ptg000003l.255#gene-evm.model.ptg000003l.255,gene-evm.model.ptg000003l.255#gene-evm.model.ptg000003l.255
XLOC-000131#PLRG1-BOVIN#Q2KID6,Q2KID6,PLRG1
XLOC-000124#ACNT1-MOUSE#A2AKK5,A2AKK5,Acnat1
XLOC-000125#GRCR2-DROME#Q9W4S1,Q9W4S1,CG12206
XLOC-001097#XLOC-001097,XLOC-001097#XLOC-001097,XLOC-001097#XLOC-001097
XLOC-001096#XLOC-001096,XLOC-001096#XLOC-001096,XLOC-001096#XLOC-001096
XLOC-001101#KPC2-DROME#P13677,P13677,inaC
XLOC-001098#XLOC-001098,XLOC-001098#XLOC-001098,XLOC-001098#XLOC-001098
XLOC-001099#HIRP3-MOUSE#Q8BLH7,Q8BLH7,Hirip3
gene-evm.model.ptg000003l.258,gene-evm.model.ptg000003l.258,gene-evm.model.ptg000003l.258
gene-evm.model.ptg000003l.259#gene-evm.model.ptg000003l.259,gene-evm.model.ptg000003l.259#gene-evm.model.ptg000003l.259,gene-evm.model.ptg000003l.259#gene-evm.model.ptg000003l.259
XLOC-001104#HCF-DROME#Q9V4C8,Q9V4C8,Hcf
gene-evm.model.ptg000003l.274#UCHL3-BOVIN#Q2TBG8,Q2TBG8,UCHL3
XLOC-000135#PLK4-NEMVE#A7SNN5,A7SNN5,v1g246408
XLOC-001106#SRA1-MOUSE#Q80VJ2,Q80VJ2,Sra1
XLOC-001102#CATR-SCHDU#Q06827,Q06827,XLOC-001102#CATR-SCHDU#Q06827
XLOC-001103#PLPP6-DANRE#Q5TZ07,Q5TZ07,plpp6
XLOC-001105#CD123-MOUSE#Q8CII2,Q8CII2,Cdc123
XLOC-001107#WDR82-DROME#Q9VLN1,Q9VLN1,Wdr82
XLOC-001109#DYH3-HUMAN#Q8TD57,Q8TD57,DNAH3
XLOC-000138#STIM2-MOUSE#P83093,P83093,Stim2
XLOC-001112#CA2D4-HUMAN#Q7Z3S7,Q7Z3S7,CACNA2D4
XLOC-000145#XLOC-000145,XLOC-000145#XLOC-000145,XLOC-000145#XLOC-000145
XLOC-001111#XLOC-001111,XLOC-001111#XLOC-001111,XLOC-001111#XLOC-001111
gene-evm.model.ptg000003l.287#CDKL2-PONAB#Q5R754,Q5R754,CDKL2
XLOC-000147#CDKL2-PONAB#Q5R754,Q5R754,CDKL2
XLOC-000148#SWP70-CHICK#Q5F4B2,Q5F4B2,SWAP70
XLOC-001115#TBCD1-HUMAN#Q86TI0,Q86TI0,TBC1D1
XLOC-001114#INT13-HUMAN#Q9NVM9,Q9NVM9,INTS13
XLOC-000151#ZMY10-DANRE#F1QN74,F1QN74,zmynd10
XLOC-001118#UFM1-COLLI#B5LVL2,B5LVL2,UFM1
gene-evm.model.ptg000003l.291#DDGS-TRIV2#Q3M6C3,Q3M6C3,Ava_3858
XLOC-000149#RTBS-DROME#Q95SX7,Q95SX7,RTase
XLOC-000154#PKHG7-HUMAN#Q6ZR37,Q6ZR37,PLEKHG7
gene-evm.model.ptg000003l.296-1#RASF1-MOUSE#Q99MK9,Q99MK9,Rassf1
XLOC-000150#XLOC-000150,XLOC-000150#XLOC-000150,XLOC-000150#XLOC-000150
XLOC-000153#AVIL-MOUSE#O88398,O88398,Avil
XLOC-001119#RASF1-MOUSE#Q99MK9,Q99MK9,Rassf1
XLOC-001125#PITX3-HUMAN#O75364,O75364,PITX3
gene-evm.model.ptg000003l.306#MA2C1-MOUSE#Q91W89,Q91W89,Man2c1
XLOC-001128#XLOC-001128,XLOC-001128#XLOC-001128,XLOC-001128#XLOC-001128
gene-evm.model.ptg000003l.307#gene-evm.model.ptg000003l.307,gene-evm.model.ptg000003l.307#gene-evm.model.ptg000003l.307,gene-evm.model.ptg000003l.307#gene-evm.model.ptg000003l.307
XLOC-001122#ZN277-MOUSE#E9Q6D6,E9Q6D6,Znf277
gene-evm.model.ptg000003l.304-1,gene-evm.model.ptg000003l.304-1,gene-evm.model.ptg000003l.304-1
gene-evm.model.ptg000003l.305#RB15B-MOUSE#Q6PHZ5,Q6PHZ5,Rbm15b
gene-evm.model.ptg000003l.326#KLF5-HUMAN#Q13887,Q13887,KLF5
XLOC-000157#XLOC-000157,XLOC-000157#XLOC-000157,XLOC-000157#XLOC-000157
gene-evm.model.ptg000003l.312#SGCZ-HUMAN#Q96LD1,Q96LD1,SGCZ
XLOC-001126#NEK4-MOUSE#Q9Z1J2,Q9Z1J2,Nek4
gene-evm.model.ptg000003l.311#gene-evm.model.ptg000003l.311,gene-evm.model.ptg000003l.311#gene-evm.model.ptg000003l.311,gene-evm.model.ptg000003l.311#gene-evm.model.ptg000003l.311
XLOC-000160#XLOC-000160,XLOC-000160#XLOC-000160,XLOC-000160#XLOC-000160
XLOC-000161#XLOC-000161,XLOC-000161#XLOC-000161,XLOC-000161#XLOC-000161
XLOC-000163#XLOC-000163,XLOC-000163#XLOC-000163,XLOC-000163#XLOC-000163
XLOC-001136#PP2C2-CAEEL#P49596,P49596,ppm-2
XLOC-001130#RHG24-MOUSE#Q8C4V1,Q8C4V1,Arhgap24
XLOC-001129#MITF-MOUSE#Q08874,Q08874,Mitf
XLOC-001134#B4GN3-HUMAN#Q6L9W6,Q6L9W6,B4GALNT3
XLOC-000169#DYHC2-TRIGR#Q27802,Q27802,DYH1B
XLOC-000165#S2536-DANRE#Q6DG32,Q6DG32,slc25a36a
gene-evm.model.ptg000003l.319#S2536-DANRE#Q6DG32,Q6DG32,slc25a36a
XLOC-001131#GAMT-XENTR#Q6PBF6,Q6PBF6,gamt
XLOC-000167#XLOC-000167,XLOC-000167#XLOC-000167,XLOC-000167#XLOC-000167
XLOC-000168#RIM2-DROME#Q9VQ37,Q9VQ37,Rim2
XLOC-001139#FREM2-HUMAN#Q5SZK8,Q5SZK8,FREM2
gene-evm.model.ptg000003l.324,gene-evm.model.ptg000003l.324,gene-evm.model.ptg000003l.324
gene-evm.model.ptg000003l.332#TBA1A-CHICK#P02552,P02552,TUBA1A
XLOC-001137#KLF7-MOUSE#Q99JB0,Q99JB0,Klf7
XLOC-001140#ORNT1-HUMAN#Q9Y619,Q9Y619,SLC25A15
XLOC-001141#XLOC-001141,XLOC-001141#XLOC-001141,XLOC-001141#XLOC-001141
gene-evm.model.ptg000003l.327,gene-evm.model.ptg000003l.327,gene-evm.model.ptg000003l.327
gene-evm.model.ptg000003l.331#ALG8-HUMAN#Q9BVK2,Q9BVK2,ALG8
XLOC-001138#ZCH10-MOUSE#Q9CX48,Q9CX48,Zcchc10
XLOC-000172#TES-XENTR#Q6DIR5,Q6DIR5,tes
XLOC-001147#SCLT1-HUMAN#Q96NL6,Q96NL6,SCLT1
gene-evm.model.ptg000003l.347#SCLT1-HUMAN#Q96NL6,Q96NL6,SCLT1
XLOC-000173#TES-CHICK#Q90YH9,Q90YH9,TES
XLOC-000174#XLOC-000174,XLOC-000174#XLOC-000174,XLOC-000174#XLOC-000174
XLOC-000175#TENR-RAT#Q05546,Q05546,Tnr
XLOC-000176#XLOC-000176,XLOC-000176#XLOC-000176,XLOC-000176#XLOC-000176
XLOC-001156#XLOC-001156,XLOC-001156#XLOC-001156,XLOC-001156#XLOC-001156
XLOC-000177#FCN1-RAT#Q9WTS8,Q9WTS8,Fcn1
XLOC-001142#XLOC-001142,XLOC-001142#XLOC-001142,XLOC-001142#XLOC-001142
XLOC-001146#NAA15-HUMAN#Q9BXJ9,Q9BXJ9,NAA15
XLOC-001144#XLOC-001144,XLOC-001144#XLOC-001144,XLOC-001144#XLOC-001144
XLOC-001145#XLOC-001145,XLOC-001145#XLOC-001145,XLOC-001145#XLOC-001145
XLOC-001154#ITPR1-HUMAN#Q14643,Q14643,ITPR1
XLOC-001149#XLOC-001149,XLOC-001149#XLOC-001149,XLOC-001149#XLOC-001149
XLOC-001150#SVEP1-RAT#P0C6B8,P0C6B8,Svep1
XLOC-001152#XLOC-001152,XLOC-001152#XLOC-001152,XLOC-001152#XLOC-001152
XLOC-000179#XLOC-000179,XLOC-000179#XLOC-000179,XLOC-000179#XLOC-000179
